strategy,tau_s,battery_peak_mw,battery_energy_swing_kwh,battery_charge_mwh,battery_discharge_mwh,battery_throughput_mwh,battery_loss_mwh,terminal_energy_error_kwh,battery_saturation_s,generator_max_ramp_mw_s,generator_ramp_violation_s,generator_reserve_violation_s,power_balance_error_mw,frequency_nadir_hz,frequency_zenith_hz,fleet_fuel_kg,mechanical_peak_mw,operating_cost,dynamic_screened,feasible,rejection_reason,scenario,hardware,max_additional_delay_s
immediate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.901802721088433,2.0,0.0,0.0,58.57969306588102,60.87098571945207,1727.179660814108,33.235903125537504,431.794915203527,True,False,generator_ramp_violation_s;frequency_band,busy,6MW-1p5MWh,0.0
immediate,2.0,3.934535147392289,3.451346620519491,0.0036329964426533748,0.003278779289493957,0.006911775732147332,0.0003542171531586664,0.0,0.0,1.9672675736961445,8.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,6MW-1p5MWh,0.0
immediate,5.0,4.918168934240359,8.62836655129906,0.009082491106628456,0.008196948223734811,0.017279439330363265,0.0008855428828964127,0.0,0.0,0.983633786848074,8.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,6MW-1p5MWh,0.0
immediate,10.0,5.365275200989483,17.256733102598343,0.018164982213261138,0.016393896447468432,0.03455887866072957,0.001771085765792974,0.0,0.0,0.5365275200989501,1.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,6MW-1p5MWh,0.0
immediate,20.0,5.620764496274699,34.513466202866326,0.03632996442407267,0.03278779289272348,0.06911775731679615,0.0035421715313469744,0.0,0.0,0.2810382248137344,0.0,0.0,0.0,59.67808348795148,60.0,1727.6454694810425,28.227884368657545,433.2937225165965,True,True,,busy,6MW-1p5MWh,0.0
immediate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.901802721088433,2.0,0.0,0.0,58.57969306588102,60.87098571945207,1727.179660814108,33.235903125537504,431.794915203527,True,False,generator_ramp_violation_s;frequency_band,busy,2MW-0p5MWh,0.0
immediate,2.0,2.0,2.7035224746168875,0.002845813131175325,0.002568346350886416,0.005414159482061741,0.0002774667802896302,0.0,4.0,3.9018027210884334,4.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,2MW-0p5MWh,0.0
immediate,5.0,2.0,6.391523608291094,0.006727919587675373,0.006071947427877491,0.012799867015552864,0.0006559721597983734,0.0,10.0,3.9018027210884334,2.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,2MW-0p5MWh,0.0
immediate,10.0,2.0,12.481128215450942,0.013138029700475366,0.011857071804678836,0.024995101505154202,0.0012809578957963385,0.0,21.0,3.9018027210884334,2.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,2MW-0p5MWh,0.0
immediate,20.0,2.0,24.663921046693073,0.025962022154413258,0.023430724994358595,0.04939274714877186,0.002531297160055326,0.0,41.0,3.9018027210884334,2.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,2MW-0p5MWh,0.0
immediate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.901802721088433,2.0,0.0,0.0,58.57969306588102,60.87098571945207,1727.179660814108,33.235903125537504,431.794915203527,True,False,generator_ramp_violation_s;frequency_band,busy,4MW-1MWh,0.0
immediate,2.0,3.934535147392289,3.451346620519602,0.0036329964426507584,0.003278779289493957,0.006911775732144715,0.00035421715315853565,0.0,0.0,1.9672675736961445,8.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,4MW-1MWh,0.0
immediate,5.0,4.0,8.331102502729781,0.008769581581819905,0.007914547377593886,0.01668412895941379,0.0008550342042275155,0.0,3.0,1.9018027210884334,6.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,4MW-1MWh,0.0
immediate,10.0,4.0,16.464943477817407,0.01733151945033307,0.0156416963039272,0.032973215754260266,0.0016898231464075584,0.0,6.0,1.9018027210884334,2.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,4MW-1MWh,0.0
immediate,20.0,4.0,32.715210570705366,0.03443706375863797,0.0310794500421694,0.06551651380080736,0.00335761371646713,0.0,12.0,1.9018027210884334,2.0,0.0,0.0,,,,,,False,False,generator_ramp_violation_s,busy,4MW-1MWh,0.0
