strategy,job_id,submit_s,nodes,duration_s,flexible,first_start_s,full_start_s,completion_s,first_start_delay_s,full_start_delay_s,turnaround_s
immediate,batch-a,120,1200,240,True,120,120,360,0,0,240
immediate,batch-b,120,900,240,True,120,120,360,0,0,240
immediate,batch-c,120,700,240,True,120,360,600,0,240,480
immediate,batch-d,360,1100,240,True,360,360,600,0,0,240
immediate,batch-e,360,900,240,True,360,360,600,0,0,240
immediate,batch-f,360,700,240,True,360,600,840,0,240,480
immediate,batch-g,600,1000,180,True,600,600,780,0,0,180
immediate,batch-h,600,800,180,True,600,600,780,0,0,180
immediate,batch-i,600,600,180,True,600,600,780,0,0,180
wave-512,batch-a,120,1200,240,True,120,122,362,0,2,242
wave-512,batch-b,120,900,240,True,122,124,364,2,4,244
wave-512,batch-c,120,700,240,True,124,360,600,4,240,480
wave-512,batch-d,360,1100,240,True,360,362,602,0,2,242
wave-512,batch-e,360,900,240,True,362,364,604,2,4,244
wave-512,batch-f,360,700,240,True,364,600,840,4,240,480
wave-512,batch-g,600,1000,180,True,600,602,782,0,2,182
wave-512,batch-h,600,800,180,True,602,603,783,2,3,183
wave-512,batch-i,600,600,180,True,603,604,784,3,4,184
wave-256,batch-a,120,1200,240,True,120,124,364,0,4,244
wave-256,batch-b,120,900,240,True,124,128,368,4,8,248
wave-256,batch-c,120,700,240,True,128,360,600,8,240,480
wave-256,batch-d,360,1100,240,True,360,364,604,0,4,244
wave-256,batch-e,360,900,240,True,364,368,608,4,8,248
wave-256,batch-f,360,700,240,True,368,600,840,8,240,480
wave-256,batch-g,600,1000,180,True,600,604,784,0,4,184
wave-256,batch-h,600,800,180,True,604,607,787,4,7,187
wave-256,batch-i,600,600,180,True,607,609,789,7,9,189
wave-226,batch-a,120,1200,240,True,120,125,365,0,5,245
wave-226,batch-b,120,900,240,True,125,129,369,5,9,249
wave-226,batch-c,120,700,240,True,129,360,600,9,240,480
wave-226,batch-d,360,1100,240,True,360,365,605,0,5,245
wave-226,batch-e,360,900,240,True,365,369,609,5,9,249
wave-226,batch-f,360,700,240,True,369,600,840,9,240,480
wave-226,batch-g,600,1000,180,True,600,605,785,0,5,185
wave-226,batch-h,600,800,180,True,605,608,788,5,8,188
wave-226,batch-i,600,600,180,True,608,611,791,8,11,191
reuse-226,batch-a,120,1200,240,True,120,125,365,0,5,245
reuse-226,batch-b,120,900,240,True,125,129,369,5,9,249
reuse-226,batch-c,120,700,240,True,129,360,600,9,240,480
reuse-226,batch-d,360,1100,240,True,360,365,605,0,5,245
reuse-226,batch-e,360,900,240,True,365,369,609,5,9,249
reuse-226,batch-f,360,700,240,True,369,600,840,9,240,480
reuse-226,batch-g,600,1000,180,True,600,605,785,0,5,185
reuse-226,batch-h,600,800,180,True,605,608,788,5,8,188
reuse-226,batch-i,600,600,180,True,608,611,791,8,11,191
