strategy,job_id,submit_s,nodes,duration_s,flexible,first_start_s,full_start_s,completion_s,first_start_delay_s,full_start_delay_s,turnaround_s
immediate,batch-a,120,1200,240,True,120,120,360,0,0,240
immediate,batch-b,120,900,240,True,120,120,360,0,0,240
immediate,batch-c,120,700,240,True,120,120,360,0,0,240
immediate,batch-d,360,1100,240,True,360,360,600,0,0,240
immediate,batch-e,360,900,240,True,360,360,600,0,0,240
immediate,batch-f,360,700,240,True,360,360,600,0,0,240
immediate,batch-g,600,1000,180,True,600,600,780,0,0,180
immediate,batch-h,600,800,180,True,600,600,780,0,0,180
immediate,batch-i,600,600,180,True,600,600,780,0,0,180
wave-512,batch-a,120,1200,240,True,120,122,362,0,2,242
wave-512,batch-b,120,900,240,True,122,124,364,2,4,244
wave-512,batch-c,120,700,240,True,124,125,365,4,5,245
wave-512,batch-d,360,1100,240,True,360,362,602,0,2,242
wave-512,batch-e,360,900,240,True,362,363,603,2,3,243
wave-512,batch-f,360,700,240,True,363,365,605,3,5,245
wave-512,batch-g,600,1000,180,True,600,601,781,0,1,181
wave-512,batch-h,600,800,180,True,601,603,783,1,3,183
wave-512,batch-i,600,600,180,True,603,604,784,3,4,184
wave-256,batch-a,120,1200,240,True,120,124,364,0,4,244
wave-256,batch-b,120,900,240,True,124,128,368,4,8,248
wave-256,batch-c,120,700,240,True,128,130,370,8,10,250
wave-256,batch-d,360,1100,240,True,360,364,604,0,4,244
wave-256,batch-e,360,900,240,True,364,367,607,4,7,247
wave-256,batch-f,360,700,240,True,367,370,610,7,10,250
wave-256,batch-g,600,1000,180,True,600,603,783,0,3,183
wave-256,batch-h,600,800,180,True,603,607,787,3,7,187
wave-256,batch-i,600,600,180,True,607,609,789,7,9,189
wave-226,batch-a,120,1200,240,True,120,125,365,0,5,245
wave-226,batch-b,120,900,240,True,125,129,369,5,9,249
wave-226,batch-c,120,700,240,True,129,132,372,9,12,252
wave-226,batch-d,360,1100,240,True,360,364,604,0,4,244
wave-226,batch-e,360,900,240,True,364,368,608,4,8,248
wave-226,batch-f,360,700,240,True,368,371,611,8,11,251
wave-226,batch-g,600,1000,180,True,600,604,784,0,4,184
wave-226,batch-h,600,800,180,True,604,607,787,4,7,187
wave-226,batch-i,600,600,180,True,607,610,790,7,10,190
reuse-226,batch-a,120,1200,240,True,120,125,365,0,5,245
reuse-226,batch-b,120,900,240,True,125,129,369,5,9,249
reuse-226,batch-c,120,700,240,True,129,132,372,9,12,252
reuse-226,batch-d,360,1100,240,True,360,362,602,0,2,242
reuse-226,batch-e,360,900,240,True,362,364,604,2,4,244
reuse-226,batch-f,360,700,240,True,364,365,605,4,5,245
reuse-226,batch-g,600,1000,180,True,600,601,781,0,1,181
reuse-226,batch-h,600,800,180,True,601,602,782,1,2,182
reuse-226,batch-i,600,600,180,True,602,603,783,2,3,183
