strategy,strategy_label,mean_full_start_delay_s,p95_full_start_delay_s,max_full_start_delay_s,last_completion_s,makespan_s,accounting_window_s,useful_node_seconds,facility_energy_mwh,nonproductive_hold_energy_mwh,generator_only_trajectory_valid,generator_only_fleet_fuel_kg,max_up_ramp_mw_s,max_down_ramp_mw_s,max_abs_ramp_mw_s,p95_abs_ramp_mw_s,p99_abs_ramp_mw_s,p99_event_abs_ramp_mw_s,max_10s_abs_ramp_mw_s,seconds_above_1_mw_s,bess_tau_s,bess_power_rating_mw,bess_energy_kwh,bess_equivalent_duration_s,bess_equivalent_c_rate,buffered_gt_max_ramp_mw_s,frequency_nadir_hz,frequency_zenith_hz,frequency_oob_s,first_trip_s,exhaust_temp_min_c,exhaust_temp_max_c,exhaust_temp_range_k,max_abs_temp_rate_k_s,p99_abs_temp_rate_k_s,p99_event_abs_temp_rate_k_s,total_temp_variation_k,max_thermal_proxy_pu,torque_min_kNm,torque_max_kNm,torque_range_kNm,torsional_damage_hcf,torsional_damage_lcf,scenario,peak_active_nodes,max_additional_delay_s,within_max_delay_allowance,completion_extension_s,feasible_policy_count,best_operating_cost,best_tau_s,best_fleet_fuel_kg,best_battery_peak_mw,best_battery_loss_mwh,best_battery_throughput_mwh,best_frequency_nadir_hz,best_frequency_zenith_hz,best_terminal_energy_error_kwh
immediate,Immediate activation,0.0,0.0,0.0,780.0,660.0,1030.0,1752000.0,4.176527347538738,0.0,False,,6.18452380952381,-5.301020408163264,6.18452380952381,0.0,0.0,6.158018707482993,0.618452380952381,2.0,10.0,5.622294372294373,17.179232802234644,10.99999999872056,327.2727273107933,0.562229437229437,57.76150656666397,61.58825073269955,9.950000000000017,135.8,343.9850782662771,431.3838033213125,87.39872505503536,30.230691523031457,24.80604042796438,29.053427942629913,206.31070415187196,0.42413619843247863,,,,,,synchronized,4400.0,0.0,True,0.0,1,317.55713603878655,20.0,1264.4342887420491,5.890022675736962,0.003711825905236335,0.07242819266371406,59.66266372880416,60.0,0.0
wave-512,Fixed wave: 512 nodes/s,3.2222222222222223,5.0,5.0,784.0,664.0,1030.0,1752000.0,4.1765273475387374,0.0,True,1264.0962107911923,1.1308843537414965,-1.1308843537414965,1.1308843537414965,0.0,0.47885884353742125,1.1308843537414965,0.618452380952381,9.0,10.0,4.379130442464199,17.179232802676744,14.122721143432093,254.90838227548056,0.43791304424641986,59.36249031570278,60.281462797120454,1.9000000000000057,,343.98507826627304,413.09232069051916,69.10724242424612,9.746855624685494,5.433535733646376,8.14157756030869,138.21448484848815,0.38693320999536096,,,,,,synchronized,4400.0,5.0,True,4.0,2,316.7906018626337,10.0,1264.2652559463052,4.379130442464197,0.0018559281975190616,0.036214393802871975,59.650763552116054,60.009955729298255,0.0
wave-256,Fixed wave: 256 nodes/s,6.888888888888889,10.0,10.0,789.0,669.0,1030.0,1752000.0,4.1765273475387374,0.0,True,1264.0962062757353,0.56544217687075,-0.56544217687075,0.56544217687075,0.0,0.5654421768707483,0.56544217687075,0.5654421768707483,0.0,10.0,3.6404540372676166,17.179232802939243,16.988330976704187,211.91016380223692,0.3640454037267613,59.44321338272813,60.197536280687125,0.0,,343.98507826627304,413.0923206905196,69.10724242424658,6.0256479281802,4.944176019532653,5.660947174443249,138.21448484848906,0.3869332099953622,,,,,,synchronized,4400.0,10.0,True,9.0,3,316.40732724509587,5.0,1264.1807332281371,2.417252152783334,0.0009279640988437549,0.01810719690307949,59.583301357986656,60.070281356530316,0.0
wave-226,Fixed wave: 226 nodes/s,7.777777777777778,11.6,12.0,790.0,670.0,1030.0,1752000.0,4.1765273475387374,0.0,True,1264.0962050613628,0.49917942176870866,-0.49917942176870866,0.49917942176870866,0.0,0.4991794217687069,0.49917942176870866,0.4991794217687076,0.0,10.0,3.4012547442636105,17.17923280295512,18.18306558629388,197.98641669717267,0.34012547442636176,59.472354094398575,60.17754294135121,0.0,,343.9850782662767,413.0923206905194,69.10724242424271,5.467307317779735,4.729170883216167,5.131872970813987,138.21448484848815,0.3869332099953616,,,,,,synchronized,4400.0,12.0,True,10.0,5,316.0240512653407,0.0,1264.0962050613628,0.0,0.0,0.0,59.472354094398575,60.17754294135121,0.0
reuse-226,Reuse + 226 new nodes/s,4.777777777777778,10.799999999999999,12.0,783.0,663.0,1030.0,1752000.0,4.1765273475387374,0.0,True,1264.1928557753001,0.49917942176870866,-1.4975382653061224,1.4975382653061224,0.0,0.49917942176870866,1.4975382653061224,0.5301020408163264,3.0,10.0,4.120510611101366,20.22679114658191,17.67170503857333,203.71548711015805,0.41205106111013556,59.344219788844576,60.31228931614826,2.0500000000000114,,343.98507826627645,434.56522440390347,90.58014613762703,9.896561511154827,4.898353970475841,5.4479228562452215,199.1403849951737,0.43060697311943924,,,,,,synchronized,5744.0,12.0,True,3.0,2,316.97654782713926,10.0,1264.3303193083598,4.120510611101377,0.002290719579627065,0.04469840000246651,59.55631519987148,60.01002794068933,0.0
immediate,Immediate activation,0.0,0.0,0.0,830.0,710.0,1077.0,1716500.0,4.296275773192082,0.0,False,,6.18452380952381,-2.650510204081634,6.18452380952381,0.0,1.3782653061224515,6.160227465986395,0.618452380952381,12.0,10.0,5.622294372294373,25.436631858954417,16.2872785785613,221.03140083442952,0.562229437229437,57.76150656666397,61.58825073269955,9.950000000000017,135.8,343.9850782662771,431.3838033213125,87.39872505503536,30.230691523031457,24.80604042796438,29.053427942629913,206.31070415187196,0.42413619843247863,,,,,,irregular,5900.0,0.0,True,0.0,1,332.4164947312028,20.0,1316.4967668770043,5.890022675736962,0.008436256075303378,0.16461515059758647,59.518354200740355,60.0,0.0
wave-512,Fixed wave: 512 nodes/s,3.2222222222222223,5.0,5.0,833.0,713.0,1077.0,1716500.0,4.296275773192082,0.0,True,1316.2572359675648,1.1308843537414965,-1.1308843537414983,1.1308843537414983,0.0,1.1308843537414965,1.1308843537414976,0.618452380952381,25.0,10.0,4.379130442464199,25.411734656817085,20.890504625631372,172.3270961862271,0.43791304424641986,59.17396357290448,60.13281598493697,13.400000000000006,,343.9850782662726,450.06066566621223,106.07558739993965,9.760454724146038,6.59085375134642,7.738390302619511,389.57766432411745,0.4621235521828343,,,,,,irregular,5900.0,5.0,True,3.0,2,331.02760926285515,10.0,1316.3772044198872,4.379130442464197,0.004953943374339689,0.09666540789416675,59.470144594996896,60.00340576589143,0.0
wave-256,Fixed wave: 256 nodes/s,6.888888888888889,10.0,10.0,837.0,717.0,1077.0,1716500.0,4.296275773192082,0.0,True,1316.2286710250703,0.56544217687075,-0.56544217687075,0.56544217687075,0.5301020408163275,0.56544217687075,0.56544217687075,0.5654421768707483,0.0,10.0,3.6404540372676166,25.370423727017005,25.088498435160194,143.49204713482538,0.3640454037267613,59.27852039261723,60.11435318214305,8.100000000000023,,343.9850782662726,450.04315445773557,106.05807619146299,6.026168722022242,5.436642748646539,5.610342104297013,389.44950939131286,0.46208793568265816,,,,,,irregular,5900.0,10.0,True,7.0,3,330.0961919656556,5.0,1316.3239513462006,2.417252152783334,0.00260137720335818,0.05076020645527121,59.40354262528941,60.026330533441346,0.0
wave-226,Fixed wave: 226 nodes/s,7.777777777777778,11.6,12.0,837.0,717.0,1077.0,1716500.0,4.296275773192082,0.0,True,1316.2223618743863,0.49917942176870866,-0.49917942176870866,0.49917942176870866,0.4991794217687051,0.49917942176870866,0.49917942176870866,0.4991794217687076,0.0,10.0,3.4012547442636105,25.345493525965132,26.826504791316133,134.19564076663974,0.34012547442636176,59.28205029702624,60.11343245459403,7.449999999999989,,343.9850782662762,450.04399177376547,106.05891350748925,5.467307317779735,4.996525002272762,5.131065933066025,389.37793389908984,0.4620896387214041,,,,,,irregular,5900.0,12.0,True,7.0,3,330.09563250514907,5.0,1316.3243588970552,2.215965638429056,0.00259968255285973,0.05072713904426286,59.406568423608284,60.026306095321274,0.0
reuse-226,Reuse + 226 new nodes/s,7.777777777777778,11.6,12.0,837.0,717.0,1077.0,1716500.0,4.296275773192082,0.0,True,1316.2223618743863,0.49917942176870866,-0.49917942176870866,0.49917942176870866,0.4991794217687051,0.49917942176870866,0.49917942176870866,0.4991794217687076,0.0,10.0,3.4012547442636105,25.345493525965132,26.826504791316133,134.19564076663974,0.34012547442636176,59.28205029702624,60.11343245459403,7.449999999999989,,343.9850782662762,450.04399177376547,106.05891350748925,5.467307317779735,4.996525002272762,5.131065933066025,389.37793389908984,0.4620896387214041,,,,,,irregular,5900.0,12.0,True,7.0,3,330.09563250514907,5.0,1316.3243588970552,2.215965638429056,0.00259968255285973,0.05072713904426286,59.406568423608284,60.026306095321274,0.0
