scenario,hardware,delay_allowance_s,feasible,strategy,tau_s,operating_cost,fleet_fuel_kg,battery_throughput_mwh,max_additional_delay_s
synchronized,6MW-1p5MWh,0,True,immediate,20.0,317.55713603878655,1264.4342887420491,0.07242819266371406,0.0
synchronized,6MW-1p5MWh,5,True,wave-512,10.0,316.7906018626337,1264.2652559463052,0.036214393802871975,5.0
synchronized,6MW-1p5MWh,15,True,wave-226,0.0,316.0240512653407,1264.0962050613628,0.0,12.0
synchronized,2MW-0p5MWh,0,False,,,,,,
synchronized,2MW-0p5MWh,5,False,,,,,,
synchronized,2MW-0p5MWh,15,True,wave-226,0.0,316.0240512653407,1264.0962050613628,0.0,12.0
synchronized,4MW-1MWh,0,False,,,,,,
synchronized,4MW-1MWh,5,False,,,,,,
synchronized,4MW-1MWh,15,True,wave-226,0.0,316.0240512653407,1264.0962050613628,0.0,12.0
irregular,6MW-1p5MWh,0,True,immediate,20.0,332.4164947312028,1316.4967668770043,0.16461515059758647,0.0
irregular,6MW-1p5MWh,5,True,wave-512,10.0,331.02760926285515,1316.3772044198872,0.09666540789416675,5.0
irregular,6MW-1p5MWh,15,True,reuse-226,5.0,330.09563250514907,1316.3243588970552,0.05072713904426286,12.0
irregular,2MW-0p5MWh,0,False,,,,,,
irregular,2MW-0p5MWh,5,False,,,,,,
irregular,2MW-0p5MWh,15,True,reuse-226,5.0,330.0832736310475,1316.323985965311,0.0501138569859875,12.0
irregular,4MW-1MWh,0,False,,,,,,
irregular,4MW-1MWh,5,False,,,,,,
irregular,4MW-1MWh,15,True,reuse-226,5.0,330.09563250514924,1316.3243588970556,0.05072713904426615,12.0
busy,6MW-1p5MWh,0,True,immediate,20.0,433.2937225165965,1727.6454694810425,0.06911775731679615,0.0
busy,6MW-1p5MWh,5,True,wave-512,10.0,432.54389614035074,1727.4108742685448,0.034558878660726086,4.0
busy,6MW-1p5MWh,15,True,reuse-226,0.0,431.79406943666766,1727.1762777466706,0.0,11.0
busy,2MW-0p5MWh,0,False,,,,,,
busy,2MW-0p5MWh,5,False,,,,,,
busy,2MW-0p5MWh,15,True,reuse-226,0.0,431.79406943666766,1727.1762777466706,0.0,11.0
busy,4MW-1MWh,0,False,,,,,,
busy,4MW-1MWh,5,False,,,,,,
busy,4MW-1MWh,15,True,reuse-226,0.0,431.79406943666766,1727.1762777466706,0.0,11.0
