strategy,job_id,submit_s,nodes,duration_s,flexible,first_start_s,full_start_s,completion_s,first_start_delay_s,full_start_delay_s,turnaround_s
immediate,batch-a,120,1200,190,True,120,120,310,0,0,190
immediate,batch-b,120,900,270,True,120,120,390,0,0,270
immediate,batch-c,120,700,310,True,120,120,430,0,0,310
immediate,batch-d,360,1100,175,True,360,360,535,0,0,175
immediate,batch-e,360,900,265,True,360,360,625,0,0,265
immediate,batch-f,360,700,205,True,360,360,565,0,0,205
immediate,batch-g,600,1000,180,True,600,600,780,0,0,180
immediate,batch-h,600,800,230,True,600,600,830,0,0,230
immediate,batch-i,600,600,150,True,600,600,750,0,0,150
wave-512,batch-a,120,1200,190,True,120,122,312,0,2,192
wave-512,batch-b,120,900,270,True,122,124,394,2,4,274
wave-512,batch-c,120,700,310,True,124,125,435,4,5,315
wave-512,batch-d,360,1100,175,True,360,362,537,0,2,177
wave-512,batch-e,360,900,265,True,362,363,628,2,3,268
wave-512,batch-f,360,700,205,True,363,365,570,3,5,210
wave-512,batch-g,600,1000,180,True,600,601,781,0,1,181
wave-512,batch-h,600,800,230,True,601,603,833,1,3,233
wave-512,batch-i,600,600,150,True,603,604,754,3,4,154
wave-256,batch-a,120,1200,190,True,120,124,314,0,4,194
wave-256,batch-b,120,900,270,True,124,128,398,4,8,278
wave-256,batch-c,120,700,310,True,128,130,440,8,10,320
wave-256,batch-d,360,1100,175,True,360,364,539,0,4,179
wave-256,batch-e,360,900,265,True,364,367,632,4,7,272
wave-256,batch-f,360,700,205,True,367,370,575,7,10,215
wave-256,batch-g,600,1000,180,True,600,603,783,0,3,183
wave-256,batch-h,600,800,230,True,603,607,837,3,7,237
wave-256,batch-i,600,600,150,True,607,609,759,7,9,159
wave-226,batch-a,120,1200,190,True,120,125,315,0,5,195
wave-226,batch-b,120,900,270,True,125,129,399,5,9,279
wave-226,batch-c,120,700,310,True,129,132,442,9,12,322
wave-226,batch-d,360,1100,175,True,360,364,539,0,4,179
wave-226,batch-e,360,900,265,True,364,368,633,4,8,273
wave-226,batch-f,360,700,205,True,368,371,576,8,11,216
wave-226,batch-g,600,1000,180,True,600,604,784,0,4,184
wave-226,batch-h,600,800,230,True,604,607,837,4,7,237
wave-226,batch-i,600,600,150,True,607,610,760,7,10,160
reuse-226,batch-a,120,1200,190,True,120,125,315,0,5,195
reuse-226,batch-b,120,900,270,True,125,129,399,5,9,279
reuse-226,batch-c,120,700,310,True,129,132,442,9,12,322
reuse-226,batch-d,360,1100,175,True,360,364,539,0,4,179
reuse-226,batch-e,360,900,265,True,364,368,633,4,8,273
reuse-226,batch-f,360,700,205,True,368,371,576,8,11,216
reuse-226,batch-g,600,1000,180,True,600,604,784,0,4,184
reuse-226,batch-h,600,800,230,True,604,607,837,4,7,237
reuse-226,batch-i,600,600,150,True,607,610,760,7,10,160
