t_s,t_after_step_s,delta_rad,omega_pu,freq_hz,speed_rpm,Pm_mw,Pm_pu,Pe_mw,Pe_pu,Pe_demand_mw,valve_pu,P_fuel_pu,fsrn_pu,fsra_pu,fsrt_pu,fsr_pu,fuel_kg_s,cum_fuel_kg,active_branch
0.0,-5.0,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848484848,0.5484848484848485,0.7784778821960817,0.0,0
0.02,-4.98,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848484848,0.5484848484848485,0.7784778821960817,0.015569557643921634,0
0.04,-4.96,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848484848,0.5484848484848485,0.7784778821960817,0.03113911528784327,0
0.06,-4.94,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848484848,0.5484848484848485,0.7784778821960817,0.0467086729317649,0
0.08,-4.92,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848484848,0.5484848484848485,0.7784778821960817,0.06227823057568654,0
0.1,-4.9,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848484848,0.5484848484848485,0.7784778821960817,0.07784778821960818,0
0.12,-4.88,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848486065,0.5484848484848485,0.7784778821960817,0.0934173458635298,0
0.14,-4.86,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848496325,0.5484848484848485,0.7784778821960817,0.10898690350745145,0
0.16,-4.84,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848514039,0.5484848484848485,0.7784778821960817,0.12455646115137307,0
0.18,-4.82,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848535915,0.5484848484848485,0.7784778821960817,0.1401260187952947,0
0.2,-4.8,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848559058,0.5484848484848485,0.7784778821960817,0.15569557643921636,0
0.22,-4.78,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848580969,0.5484848484848485,0.7784778821960817,0.17126513408313798,0
0.24,-4.76,0.0,1.0,60.0,3600.0,11.5,0.5,11.5,0.5,11.5,0.5484848484848485,0.5484848484848485,0.5484848484848485,0.5494848484848485,0.5527484848599552,0.5484848484848485,0.7784778821960817,0.1868346917270596,0
