GTLoad,P_el_W,fuelFlowRate_kg_s,exhaust_m_flow_kg_s,exhaust_T_K
0,0,4.58,454,548
0.05,1.175e+07,4.87762,454,572.583
0.1,2.35e+07,5.17524,454,597.167
0.15,3.525e+07,5.47286,454,621.75
0.2,4.7e+07,5.77048,454,646.333
0.25,5.875e+07,6.0681,454,670.917
0.3,7.05e+07,6.36571,454,695.5
0.35,8.225e+07,6.66333,454,720.083
0.4,9.4e+07,6.96095,454,744.667
0.45,1.0575e+08,7.33966,454,769.25
0.5,1.175e+08,7.77241,454,793.833
0.55,1.2925e+08,8.20517,454,818.417
0.6,1.41e+08,8.63793,454,843
0.65,1.5275e+08,9.07069,474,843
0.7,1.645e+08,9.50345,494,843
0.75,1.7625e+08,9.93621,514,843
0.8,1.88e+08,10.369,534,843
0.85,1.9975e+08,10.8017,554,843
0.9,2.115e+08,11.2345,574,843
0.95,2.2325e+08,11.6672,594,843
1,2.35e+08,12.1,614,843
